canal,tiempo_o_bache,productos_disponibles,producto_comprado
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,4
PRESENCIAL,844.9043480474816,0;1;2;3;4,3
PRESENCIAL,848.0404015993305,0;1;2;3;4,3
PRESENCIAL,850.4708096347147,0;1;2;3;4,3
PRESENCIAL,852.8601629570566,0;1;2;3;4,1
PRESENCIAL,857.6428381713615,0;1;2;3;4,1
PRESENCIAL,861.0354757554971,0;1;2;3;4,4
PRESENCIAL,863.2312449540399,0;1;2;3;4,1
PRESENCIAL,868.2543087627896,0;1;2;3;4,3
PRESENCIAL,873.715653296451,0;1;2;3;4,4
PRESENCIAL,876.1475185717495,0;1;2;3;4,4
PRESENCIAL,877.7312382263143,0;1;2;3;4,2
PRESENCIAL,879.9548197642763,0;1;2;3;4,3
PRESENCIAL,883.4093885378174,0;1;2;3;4,1
PRESENCIAL,883.9324255152763,0;1;2;3;4,2
PRESENCIAL,884.151876997967,0;1;2;3;4,2
PRESENCIAL,887.2261150283367,0;1;2;3;4,1
PRESENCIAL,891.2668859680989,0;1;2;3;4,1
PRESENCIAL,891.5849888077882,0;1;2;3;4,3
PRESENCIAL,893.8708624539313,0;1;2;3;4,2
PRESENCIAL,894.2825639581545,0;1;2;3;4,1
PRESENCIAL,897.7393273531275,0;1;2;3;4,1
PRESENCIAL,898.4608293720746,0;1;2;3;4,1
PRESENCIAL,902.7353914115321,0;1;2;3;4,1
PRESENCIAL,902.8862803404769,0;1;2;3;4,1
PRESENCIAL,904.0318768653466,0;1;2;3;4,1
PRESENCIAL,906.9286657680043,0;1;2;3;4,3
PRESENCIAL,909.245393537985,0;1;2;3;4,1
PRESENCIAL,909.6525296602157,0;1;2;3;4,3
PRESENCIAL,913.0291286009594,0;1;2;3;4,2
PRESENCIAL,913.3908149141106,0;1;2;3;4,2
PRESENCIAL,914.8376725533245,0;1;2;3;4,3
PRESENCIAL,917.5330958550817,0;1;2;3;4,1
PRESENCIAL,925.6890080162843,0;1;2;3;4,1
PRESENCIAL,928.0104698081493,0;1;2;3;4,3
PRESENCIAL,928.8112909065994,0;1;2;3;4,1
PRESENCIAL,930.996248889037,0;1;2;3;4,3
PRESENCIAL,933.4383029221907,0;1;2;3;4,1
PRESENCIAL,940.4179450477724,0;1;2;3;4,2
PRESENCIAL,940.6756167147207,0;1;2;3;4,2
PRESENCIAL,944.9299256199163,0;1;2;3;4,1
PRESENCIAL,945.2313029331941,0;1;2;3;4,1
PRESENCIAL,945.6005775523076,0;1;2;3;4,4
PRESENCIAL,948.1362479675412,0;1;2;3;4,3
PRESENCIAL,952.9820874277485,0;1;2;3;4,4
PRESENCIAL,960.7649711035459,0;1;2;3;4,2
PRESENCIAL,961.6533514727789,0;1;2;3;4,2
PRESENCIAL,962.0814150437574,0;1;2;3;4,1
PRESENCIAL,966.1193577814747,0;1;2;3;4,3
PRESENCIAL,971.9751798323301,0;1;2;3;4,2
PRESENCIAL,975.0777153408626,0;1;2;3;4,4
PRESENCIAL,976.0852679456523,0;1;2;3;4,1
PRESENCIAL,976.4668438723858,0;1;2;3;4,3
PRESENCIAL,977.5184962387046,0;1;2;3;4,4
PRESENCIAL,979.6240661635991,0;1;2;3;4,2
PRESENCIAL,979.7708484675934,0;1;2;3;4,1
PRESENCIAL,983.7918249173694,0;1;2;3;4,4
PRESENCIAL,984.2579703021202,0;1;2;3;4,4
PRESENCIAL,991.364721127695,0;1;2;3;4,2
PRESENCIAL,993.5552643215012,0;1;2;3;4,1
PRESENCIAL,997.1387605108677,0;1;2;3;4,2
PRESENCIAL,1002.2123425538313,0;1;2;3;4,3
PRESENCIAL,1007.9108505360824,0;1;2;3;4,3
PRESENCIAL,1011.3024545338452,0;1;2;3;4,3
PRESENCIAL,1013.9926894545962,0;1;2;3;4,2
PRESENCIAL,1015.7669092122745,0;1;2;3;4,2
PRESENCIAL,1016.2919751203635,0;1;2;3;4,2
PRESENCIAL,1016.5754711671735,0;1;2;3;4,3
PRESENCIAL,1030.1496413808768,0;1;2;3;4,1
PRESENCIAL,1036.883767218619,0;1;2;3;4,3
PRESENCIAL,1041.281589866565,0;1;2;3;4,4
PRESENCIAL,1042.591415960063,0;1;2;3;4,4
PRESENCIAL,1043.172728662418,0;1;2;3;4,2
PRESENCIAL,1043.5550499141032,0;1;2;3;4,1
PRESENCIAL,1053.9986983357403,0;1;2;3;4,3
PRESENCIAL,1055.1234034223055,0;1;2;3;4,1
PRESENCIAL,1060.452665017023,0;1;2;3;4,1
PRESENCIAL,1066.201173955035,0;1;2;3;4,3
PRESENCIAL,1074.4422161140958,0;1;2;3;4,3
PRESENCIAL,1076.3454395602766,0;1;2;3;4,1
PRESENCIAL,1076.7878521432933,0;1;2;3;4,3
PRESENCIAL,1078.22706651996,0;1;2;3;4,2
PRESENCIAL,1083.1852912802412,0;1;2;3;4,2
PRESENCIAL,1089.5380311964977,0;1;2;3;4,2
PRESENCIAL,1091.8516043693555,0;1;2;3;4,1
PRESENCIAL,1095.1012779085409,0;1;2;3;4,1
PRESENCIAL,1097.2883661320423,0;1;2;3;4,3
PRESENCIAL,1099.167363752858,0;1;2;3;4,1
PRESENCIAL,1102.826674377952,0;1;2;3;4,3
PRESENCIAL,1106.1648543886067,0;1;2;3;4,1
PRESENCIAL,1108.933648083919,0;1;2;3;4,4
PRESENCIAL,1111.9479651355741,0;1;2;3;4,1
PRESENCIAL,1113.2009650774542,0;1;2;3;4,4
PRESENCIAL,1113.5300085943063,0;1;2;3;4,3
PRESENCIAL,1120.7519070241165,0;1;2;3;4,1
PRESENCIAL,1121.7168094969898,0;1;2;3;4,1
PRESENCIAL,1124.0837569943728,0;1;2;3;4,4
PRESENCIAL,1125.5840980110702,0;1;2;3;4,2
PRESENCIAL,1126.6862151053651,0;1;2;3;4,4
PRESENCIAL,1136.4457501293864,0;1;2;3;4,3
PRESENCIAL,1137.0635690608397,0;1;2;3;4,2
PRESENCIAL,1137.5243421624905,0;1;2;3;4,3
PRESENCIAL,1139.5368405774122,0;1;2;3;4,4
PRESENCIAL,1139.9408919656737,0;1;2;3;4,1
PRESENCIAL,1140.5458796540001,0;1;2;3;4,3
PRESENCIAL,1141.179238764915,0;1;2;3;4,4
PRESENCIAL,1141.217006228566,0;1;2;3;4,4
PRESENCIAL,1141.5959776228692,0;1;2;3;4,2
PRESENCIAL,1142.9003286103643,0;1;2;3;4,1
PRESENCIAL,1151.6146661395874,0;1;2;3;4,1
PRESENCIAL,1155.6769499095512,0;1;2;3;4,2
PRESENCIAL,1157.0075217938122,0;1;2;3;4,1
PRESENCIAL,1161.5355059277922,0;1;2;3;4,1
PRESENCIAL,1162.2232911787926,0;1;2;3;4,1
PRESENCIAL,1163.1552010875496,0;1;2;3;4,2
PRESENCIAL,1164.5549398789594,0;1;2;3;4,2
PRESENCIAL,1164.917285323401,0;1;2;3;4,1
PRESENCIAL,1173.8684775574472,0;1;2;3;4,4
PRESENCIAL,1175.7570114296027,0;1;2;3;4,4
PRESENCIAL,1177.3280997286301,0;1;2;3;4,2
PRESENCIAL,1185.5822988925397,0;1;2;3;4,3
PRESENCIAL,1186.1091198489464,0;1;2;3;4,4
PRESENCIAL,1187.5248363059764,0;1;2;3;4,2
PRESENCIAL,1191.2483635257397,0;1;2;3;4,3
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,4
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,4
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,1
ONLINE,20:00,1;2;3;4,4
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,3
ONLINE,20:00,1;2;3;4,3
